ï..customerID,Cust_ID,Gender,DOB,Age,SeniorCitizen,Dependents,Partner,Tenure,Mobile_Service,Dual_Sim,Internet_Mode,VOD_Streaming,Plan,PaymentMethod,Per_Month_Charge,Var_Charge,TotalCharges,Churn
7590-VHVEG,ER74,Female,6/27/1990,28,0,No,Yes,37,No,No phone service,DSL,No,Two year,Electronic check,607,78,685,No
5575-GNVDE,SF50,Male,4/22/1987,32,0,No,No,35,Yes,No,DSL,No,One year,Mailed check,839,58,897,No
3668-QPYBK,DQ15,Male,11/30/1972,46,0,No,No,37,Yes,No,DSL,No,Month-to-month,Mailed check,325,83,408,Yes
7795-CFOCW,GX74,Male,12/30/1986,32,0,No,No,32,NA,No phone service,DSL,No,One year,Bank transfer (automatic),688,56,744,No
9237-HQITU,AW29,Female,1/16/1976,43,0,No,No,38,Yes,No,Fiber optic,No,Month-to-month,Electronic check,456,89,545,Yes
9305-CDSKC,MU45,Female,11/21/1969,49,0,No,No,18,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,463,60,523,Yes
1452-KIOVK,TG47,Male,11/25/1976,42,0,Yes,No,3,Yes,Yes,Fiber optic,No,Month-to-month,Credit card (automatic),754,95,849,No
6713-OKOMC,GS98,Female,11/2/1968,50,0,No,No,22,No,No phone service,DSL,No,Month-to-month,Mailed check,675,66,NA,No
7892-POOKP,ID82,Female,5/26/1978,41,0,No,Yes,10,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,624,79,703,Yes
6388-TABGU,YA49,Male,5/21/1984,35,0,Yes,No,16,Yes,No,DSL,No,One year,Bank transfer (automatic),506,50,556,No
9763-GRSKD,JP55,Male,4/15/1973,46,0,Yes,Yes,23,Yes,No,DSL,No,Month-to-month,Mailed check,547,61,608,No
7469-LKBCI,RC59,Male,5/23/1969,50,0,No,No,22,Yes,No,No,No internet service,Two year,Credit card (automatic),718,63,781,No
8091-TTVAX,PK98,Male,7/30/1996,22,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,One year,Credit card (automatic),745,94,839,No
0280-XJGEX,GM71,Male,10/2/1990,28,0,No,No,18,Yes,Yes,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),633,100,733,Yes
5129-JLPIS,IJ64,Male,7/19/1992,26,0,No,No,38,Yes,No,Fiber optic,Yes,Month-to-month,Electronic check,839,87,926,No
3655-SNQYZ,XX46,Female,9/20/1960,58,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,Two year,Credit card (automatic),698,85,783,No
8191-XWSZG,IL17,Female,3/16/1996,23,0,No,No,11,Yes,No,No,No internet service,One year,Mailed check,719,56,775,No
9959-WOFKT,GK37,Male,6/24/1962,56,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,Two year,Bank transfer (automatic),373,70,443,No
4190-MFLUW,IP21,Female,6/15/1987,32,0,Yes,Yes,10,Yes,No,DSL,No,Month-to-month,Credit card (automatic),358,90,448,Yes
4183-MYFRB,TB67,Female,2/21/1996,23,0,No,No,10,Yes,No,Fiber optic,Yes,Month-to-month,Electronic check,769,88,857,No
8779-QRDMV,JX44,Male,11/11/1956,62,1,No,No,21,No,No phone service,DSL,Yes,Month-to-month,Electronic check,942,54,996,Yes
1680-VDCWW,BY49,Male,2/14/1964,55,0,No,Yes,31,Yes,No,No,No internet service,One year,Bank transfer (automatic),502,74,576,No
